<(word pair),(probability)>
('decently', 'fortunate') 1.2
('aftermath', 'war') 1.2
('reconquest', 'texas') 1.2
('greeks', 'will') 1.2
('faults', 'section') 1.2
('full-time', 'hopes') 1.2
('heroin', 'reduced') 1.2
('obscured', 'strength') 1.2
('precipitate', 'upon') 1.2
('96th', 'congress') 1.2
('attainder', 'without') 1.2
('$96', 'labor') 1.2
('$45000', 'year') 1.2
('quartermaster', 'war') 1.2
('mustering-out', 'pay') 1.2
('ayres', 'buenos') 1.1935483870967742
('1911', 'estimates') 1.1875
('destroyers', 'year') 1.1818181818181819
('ammunition', 'two') 1.1785714285714286
('gunboats', 'one') 1.1764705882352942
('1928', 'volume') 1.173913043478261
('colombian', 'government') 1.173913043478261
('gallons', 'production') 1.1666666666666667
('casks', 'gallon') 1.1666666666666667
('administrators', 'many') 1.1666666666666667
('proportionally', 'will') 1.1666666666666667
('liverpool', 'steamers') 1.1666666666666667
('stipulates', 'united') 1.1666666666666667
('bituminous', 'coal') 1.1666666666666667
('anthracite', 'coal') 1.1666666666666667
('recapture', 'will') 1.1666666666666667
('orphans', 'soldiers') 1.1666666666666667
('invalids', 'navy') 1.1666666666666667
('asserts', 'people') 1.1666666666666667
('slaveholding', 'states') 1.1666666666666667
('affiliates', 'al') 1.1666666666666667
('battleships', 'destroyers') 1.1666666666666667
('edifices', 'public') 1.1666666666666667
('belgians', 'king') 1.1666666666666667
('reissues', 'year') 1.1666666666666667
('ghent', 'treaty') 1.16
('devolve', 'upon') 1.1538461538461537
('submarines', 'submarines') 1.1515151515151516
('alcohol', 'energy') 1.1428571428571428
('25000000', 'shall') 1.1428571428571428
('armenia', 'united') 1.1428571428571428
('1783', 'treaty') 1.1428571428571428
('reclamations', 'states') 1.1428571428571428
('decides', 'work') 1.1428571428571428
('25000000', 'francs') 1.1428571428571428
('reclamations', 'united') 1.1428571428571428
('ounces', 'value') 1.1428571428571428
('cortes', 'government') 1.1428571428571428
('armenia', 'states') 1.1428571428571428
('irreparable', 'shall') 1.1333333333333333
('caroline', 'government') 1.125
('cheney', 'members') 1.125
('reconquer', 'texas') 1.125
('nueces', 'texas') 1.1176470588235294
('granada', 'new') 1.1136363636363635
('cubic', 'yards') 1.1111111111111112
('emanating', 'government') 1.1111111111111112
('--and', 'many') 1.1111111111111112
('sicilies', 'two') 1.1111111111111112
('1912', 'estimates') 1.1111111111111112
('cumberland', 'road') 1.1111111111111112
('--and', 'program') 1.1111111111111112
('--and', 'commitment') 1.1111111111111112
('agreeing', 'government') 1.1111111111111112
('britain', 'great') 1.1079545454545454
('cruiser', 'ship') 1.105263157894737
('$9', 'millions') 1.1
('hidalgo', 'treaty') 1.1
('guadalupe', 'treaty') 1.1
